Time,WHEEL,WHEEL_X,WHEEL_Y,WHEEL_Theta,WHEEL_DeltaTheta,WHEEL_IMU,WHEEL_IMU_X,WHEEL_IMU_Y,WHEEL_IMU_Theta,WHEEL_IMU_DeltaTheta,WHEEL_IMU_FUSE,WHEEL_IMU_FUSE_X,WHEEL_IMU_FUSE_Y,WHEEL_IMU_FUSE_Theta,WHEEL_IMU_FUSE_DeltaTheta,WHEEL_SPARK,WHEEL_SPARK_X,WHEEL_SPARK_Y,WHEEL_SPARK_Theta,WHEEL_SPARK_DeltaTheta,WHEEl_SPARK_FUSE,WHEEl_SPARK_FUSE_X,WHEEl_SPARK_FUSE_Y,WHEEl_SPARK_FUSE_Theta,WHEEl_SPARK_FUSE_DeltaTheta,WHEEL_IMU_SPARK_FUSE,WHEEL_IMU_SPARK_FUSE_X,WHEEL_IMU_SPARK_FUSE_Y,WHEEL_IMU_SPARK_FUSE_Theta,WHEEL_IMU_SPARK_FUSE_DeltaTheta,SPARK,SPARK_X,SPARK_Y,SPARK_Theta,SPARK_DeltaTheta,
1745791589953,WHEEL,null, null, null, null,WHEEL_IMU,null, null, null, null,WHEEL_IMU_FUSE,null, null, null, null,WHEEL_SPARK,null, null, null, null,WHEEl_SPARK_FUSE,null, null, null, null,WHEEL_IMU_SPARK_FUSE,null, null, null, null,SPARK,null, null, null, null,
1745791590022,WHEEL,-0.037701367117433375, -0.017765839275968497, -2.5386606756363844E-4, 0.0,WHEEL_IMU,-0.03772384523574475, 0.058840139601308024, 8.406427763998661E-4, 5.834581532787919E-4,WHEEL_IMU_FUSE,-0.03770212443211888, 0.02053718451463909, 2.9338835441811384E-4, 2.9172907663939596E-4,WHEEL_SPARK,-0.03769911184307752, -0.00671116594699968, -9.587379924285257E-5, -9.587379924285257E-5,WHEEl_SPARK_FUSE,-0.037700101595996155, -0.012238502656015088, -1.748699334032455E-4, -4.7936899621426287E-5,WHEEL_IMU_SPARK_FUSE,-0.03771129586015687, 0.041298626904550204, 5.900150439800395E-4, 4.614296383730319E-4,SPARK,null, null, null, null,
1745791590037,WHEEL,-0.5248690010900475, 1.0784625655589632, -0.005077284048358423, -0.004823417980794785,WHEEL_IMU,-0.5259962238282847, 1.1391701965948462, -0.004203035178428626, -0.005043677954828492,WHEEL_IMU_FUSE,-0.5254259843859661, 1.1088165556835354, -0.004640159613393524, -0.004933547967811638,WHEEL_SPARK,-0.5244379547116913, 0.9510696077225889, -0.006902913545485385, -0.006807039746242533,WHEEl_SPARK_FUSE,-0.5246244577053915, 1.0147660954513293, -0.0059900987969219045, -0.005815228863518659,WHEEL_IMU_SPARK_FUSE,-0.5254676284950827, 1.0770601277127614, -0.0050943347753187075, -0.005684349819298747,SPARK,null, null, null, null,
1745791590052,WHEEL,-0.6591505668136263, 2.4934429060096823, -0.01827755308894033, -0.013200269040581908,WHEEL_IMU,-0.6615323804385034, 2.6720876134611693, -0.01571510476912909, -0.011512069590700466,WHEEL_IMU_FUSE,-0.660284136072337, 2.5827654216834666, -0.016996328929034712, -0.012356169315641187,WHEEL_SPARK,-0.6558125736752876, 2.498260696295577, -0.01821602185614199, -0.011313108310656603,WHEEl_SPARK_FUSE,-0.6574816969243038, 2.495852298235315, -0.01824678747254116, -0.012256688675619257,WHEEL_IMU_SPARK_FUSE,-0.6596383441819789, 2.5896552669209916, -0.01689873275387306, -0.011804397978554353,SPARK,null, null, null, null,
1745791590063,WHEEL,-1.8424605406610497, 5.0404245990078405, -0.029701029443508067, -0.011423476354567736,WHEEL_IMU,-1.851186903300036, 5.279441245627003, -0.02622474362069259, -0.0105096388515635,WHEEL_IMU_FUSE,-1.8467194717218327, 5.15993494559253, -0.02796288653210033, -0.010966557603065618,WHEEL_SPARK,-0.6558125736752876, 2.498260696295577, -0.01821602185614199, -0.011313108310656603,WHEEl_SPARK_FUSE,-0.6574816969243038, 2.495852298235315, -0.01824678747254116, -0.012256688675619257,WHEEL_IMU_SPARK_FUSE,-0.6596383441819789, 2.5896552669209916, -0.01689873275387306, -0.011804397978554353,SPARK,null, null, null, null,
1745791590072,WHEEL,-1.8424605406610497, 5.0404245990078405, -0.029701029443508067, -0.011423476354567736,WHEEL_IMU,-1.851186903300036, 5.279441245627003, -0.02622474362069259, -0.0105096388515635,WHEEL_IMU_FUSE,-1.8467194717218327, 5.15993494559253, -0.02796288653210033, -0.010966557603065618,WHEEL_SPARK,-1.8385391671307723, 5.205842775344193, -0.027324032784212984, -0.009108010928070995,WHEEl_SPARK_FUSE,-1.8404508751209094, 5.123133584703616, -0.028512531113860526, -0.010265743641319366,WHEEL_IMU_SPARK_FUSE,-1.8461250280831651, 5.222486610186129, -0.027061479250428754, -0.010162746496555694,SPARK,null, null, null, null,
1745791590085,WHEEL,-3.6595195362095896, 7.192507896808656, -0.034270586952131005, -0.004569557508622935,WHEEL_IMU,-3.67729332342636, 7.313800847008506, -0.032407330347960395, -0.006182586727267802,WHEEL_IMU_FUSE,-3.668379180410228, 7.253160605187288, -0.0333389586500457, -0.005376072117945368,WHEEL_SPARK,-3.663336908825073, 7.1858450170685035, -0.03432282012894122, -0.006998787344728235,WHEEl_SPARK_FUSE,-3.6614290556688434, 7.189178331620775, -0.034296703540536114, -0.005784172426675584,WHEEL_IMU_SPARK_FUSE,-3.670490514543808, 7.260784999000748, -0.03320914506509745, -0.006147665814668694,SPARK,null, null, null, null,
1745791590096,WHEEL,-5.00976025092519, 10.319657268941231, -0.043155665690621084, -0.00888507873849008,WHEEL_IMU,-5.033397144756863, 10.435787605243448, -0.0413305366217313, -0.008923206273770905,WHEEL_IMU_FUSE,-5.021553253392737, 10.377730045223572, -0.04224310115617619, -0.008904142506130492,WHEEL_SPARK,-5.014352943809028, 10.257772344367343, -0.04400607385246933, -0.009683253723528108,WHEEl_SPARK_FUSE,-5.012051174716261, 10.28871652688889, -0.04358086977154521, -0.009284166231009094,WHEEL_IMU_SPARK_FUSE,-5.024403176750553, 10.363881356950799, -0.04242071843192474, -0.009211573366827288,SPARK,null, null, null, null,
1745791590111,WHEEL,-5.00976025092519, 10.319657268941231, -0.043155665690621084, -0.00888507873849008,WHEEL_IMU,-5.033397144756863, 10.435787605243448, -0.0413305366217313, -0.008923206273770905,WHEEL_IMU_FUSE,-5.021553253392737, 10.377730045223572, -0.04224310115617619, -0.008904142506130492,WHEEL_SPARK,-5.014352943809028, 10.257772344367343, -0.04400607385246933, -0.009683253723528108,WHEEl_SPARK_FUSE,-5.012051174716261, 10.28871652688889, -0.04358086977154521, -0.009284166231009094,WHEEL_IMU_SPARK_FUSE,-5.024403176750553, 10.363881356950799, -0.04242071843192474, -0.009211573366827288,SPARK,null, null, null, null,
1745791590116,WHEEL,-6.194015250937545, 13.897409945303878, -0.054325308368579385, -0.011169642677958301,WHEEL_IMU,-6.224650607764751, 13.989692402872901, -0.05281289298085164, -0.011482356359120344,WHEEL_IMU_FUSE,-6.209317021901038, 13.943560462683168, -0.053569100674715514, -0.011325999518539322,WHEEL_SPARK,-6.196131843193536, 13.813291867825967, -0.05551092976161164, -0.011504855909142311,WHEEl_SPARK_FUSE,-6.195062314218485, 13.855352797258186, -0.054918119065095514, -0.011337249293550306,WHEEL_IMU_SPARK_FUSE,-6.211686557675809, 13.923225875162712, -0.053843313421557834, -0.01142259498963309,SPARK,null, null, null, null,
