=== DriveTrainKsTuner Started ===
Power Increment: 0.005
Max Power: 0.5
Linear Velocity Threshold: 5.0 ticks/sec
Angular Velocity Threshold: 1.0 deg/sec
Trials Per Power: 3

Linear Test - Power: 0.0000, Trial: 1, Velocity: 0.99 ticks/sec, Moved: false
Linear Test - Power: 0.0000, Trial: 2, Velocity: 0.49 ticks/sec, Moved: false
Linear Test - Power: 0.0000, Trial: 3, Velocity: 0.49 ticks/sec, Moved: false
Rotational Test - Power: 0.0000, Trial: 1, Angular Velocity: 0.08 deg/sec, Rotated: false
Rotational Test - Power: 0.0000, Trial: 2, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0000, Trial: 3, Angular Velocity: 0.00 deg/sec, Rotated: false
Linear Test - Power: 0.0050, Trial: 1, Velocity: 0.50 ticks/sec, Moved: false
Linear Test - Power: 0.0050, Trial: 2, Velocity: 5.96 ticks/sec, Moved: true
Linear Test - Power: 0.0050, Trial: 3, Velocity: 3.46 ticks/sec, Moved: false
Rotational Test - Power: 0.0050, Trial: 1, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0050, Trial: 2, Angular Velocity: 0.03 deg/sec, Rotated: false
Rotational Test - Power: 0.0050, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0100, Trial: 1, Velocity: 0.49 ticks/sec, Moved: false
Linear Test - Power: 0.0100, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0100, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0100, Trial: 1, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0100, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0100, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0150, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0150, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0150, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0150, Trial: 1, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0150, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0150, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0200, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0200, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0200, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0200, Trial: 1, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0200, Trial: 2, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0200, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0250, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0250, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0250, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0250, Trial: 1, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0250, Trial: 2, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0250, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0300, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0300, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0300, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0300, Trial: 1, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0300, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0300, Trial: 3, Angular Velocity: 0.02 deg/sec, Rotated: false
Linear Test - Power: 0.0350, Trial: 1, Velocity: 0.99 ticks/sec, Moved: false
Linear Test - Power: 0.0350, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0350, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0350, Trial: 1, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0350, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0350, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0400, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0400, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0400, Trial: 3, Velocity: 0.50 ticks/sec, Moved: false
Rotational Test - Power: 0.0400, Trial: 1, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0400, Trial: 2, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0400, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0450, Trial: 1, Velocity: 1.98 ticks/sec, Moved: false
Linear Test - Power: 0.0450, Trial: 2, Velocity: 0.50 ticks/sec, Moved: false
Linear Test - Power: 0.0450, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0450, Trial: 1, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0450, Trial: 2, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0450, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0500, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0500, Trial: 2, Velocity: 0.50 ticks/sec, Moved: false
Linear Test - Power: 0.0500, Trial: 3, Velocity: 2.99 ticks/sec, Moved: false
Rotational Test - Power: 0.0500, Trial: 1, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0500, Trial: 2, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0500, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0550, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0550, Trial: 2, Velocity: 0.50 ticks/sec, Moved: false
Linear Test - Power: 0.0550, Trial: 3, Velocity: 0.99 ticks/sec, Moved: false
Rotational Test - Power: 0.0550, Trial: 1, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0550, Trial: 2, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0550, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0600, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0600, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0600, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0600, Trial: 1, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0600, Trial: 2, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0600, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0650, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0650, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0650, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0650, Trial: 1, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0650, Trial: 2, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0650, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0700, Trial: 1, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0700, Trial: 2, Velocity: 0.99 ticks/sec, Moved: false
Linear Test - Power: 0.0700, Trial: 3, Velocity: 1.98 ticks/sec, Moved: false
Rotational Test - Power: 0.0700, Trial: 1, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0700, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0700, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.0750, Trial: 1, Velocity: 2.48 ticks/sec, Moved: false
Linear Test - Power: 0.0750, Trial: 2, Velocity: 1.48 ticks/sec, Moved: false
Linear Test - Power: 0.0750, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0750, Trial: 1, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0750, Trial: 2, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0750, Trial: 3, Angular Velocity: 0.00 deg/sec, Rotated: false
Linear Test - Power: 0.0800, Trial: 1, Velocity: 3.47 ticks/sec, Moved: false
Linear Test - Power: 0.0800, Trial: 2, Velocity: 0.00 ticks/sec, Moved: false
Linear Test - Power: 0.0800, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false
Rotational Test - Power: 0.0800, Trial: 1, Angular Velocity: 0.01 deg/sec, Rotated: false
Rotational Test - Power: 0.0800, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0800, Trial: 3, Angular Velocity: 0.00 deg/sec, Rotated: false
Linear Test - Power: 0.0850, Trial: 1, Velocity: 1.49 ticks/sec, Moved: false
Linear Test - Power: 0.0850, Trial: 2, Velocity: 6.44 ticks/sec, Moved: true
Linear Test - Power: 0.0850, Trial: 3, Velocity: 0.50 ticks/sec, Moved: false
Rotational Test - Power: 0.0850, Trial: 1, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0850, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0850, Trial: 3, Angular Velocity: 0.00 deg/sec, Rotated: false
Linear Test - Power: 0.0900, Trial: 1, Velocity: 1.49 ticks/sec, Moved: false
Linear Test - Power: 0.0900, Trial: 2, Velocity: 1.98 ticks/sec, Moved: false
Linear Test - Power: 0.0900, Trial: 3, Velocity: 12.88 ticks/sec, Moved: true
Rotational Test - Power: 0.0900, Trial: 1, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0900, Trial: 2, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0900, Trial: 3, Angular Velocity: 0.00 deg/sec, Rotated: false
