Kp,targetRPS,Ramp_Up_Time,MAX_RPS,MIN_RPS,AVG_RPS
0.0001,15.0,1084.87,22.14,15.00,19.61
0.0001,16.0,1150.85,22.86,16.43,20.56
0.0001,17.0,1107.71,24.29,17.86,21.90
0.0001,18.0,1168.64,25.71,17.86,23.01
0.0001,19.0,1148.01,27.14,18.57,24.38
0.0001,20.0,1111.56,28.57,20.00,25.78
0.0001,21.0,1119.47,30.00,22.14,27.58
0.0001,22.0,1137.58,31.43,23.57,29.07
0.0001,23.0,1114.52,32.86,23.57,30.00
0.0001,24.0,1105.96,34.29,24.29,31.18
0.0001,25.0,1124.06,36.43,25.00,32.60
0.0001,26.0,1138.85,37.86,26.43,33.80
0.0001,27.0,1143.29,38.57,27.86,34.98
0.0001,28.0,1186.44,40.00,27.86,35.67
0.0001,29.0,1196.31,42.14,29.29,37.29
0.0001,30.0,3665.83,30.00,25.71,28.15
0.0001,31.0,1196.98,43.57,30.71,39.42
0.0001,32.0,3787.30,32.14,28.57,30.22
0.0001,33.0,4068.64,33.57,29.29,31.22
0.0001,34.0,1294.40,46.43,33.57,41.94
0.0001,35.0,1375.48,47.14,36.43,42.99
0.0001,36.0,1378.77,47.86,35.71,43.30
0.0001,37.0,1470.07,48.57,37.14,44.47
0.0001,38.0,1491.87,49.29,37.86,45.45
0.0001,39.0,1478.58,50.00,38.57,45.48
0.0001,40.0,1534.04,50.71,40.00,46.71
0.0001,41.0,1597.45,51.43,40.00,47.38
0.0001,42.0,1662.03,52.14,42.14,48.38
0.0001,43.0,5013.01,42.86,39.29,40.90
0.0001,44.0,1755.64,53.57,43.57,49.74
0.0001,45.0,1841.57,55.00,45.00,50.76
0.0001,46.0,1872.50,55.71,45.00,51.43
0.0001,47.0,1997.42,56.43,47.86,52.94
0.0001,48.0,2050.90,57.14,48.57,53.55
0.0001,49.0,2068.21,57.86,48.57,53.90
0.0001,50.0,2176.71,58.57,50.00,55.02
0.0001,51.0,2270.80,59.29,50.71,55.95
0.0001,52.0,2370.52,60.00,52.86,56.95
0.0001,53.0,2339.86,60.71,51.43,56.69
0.0001,54.0,2463.61,61.43,52.86,58.01
0.0001,55.0,2631.57,62.86,55.00,59.35
0.0001,56.0,2670.33,62.14,55.71,59.55
0.0001,57.0,2860.66,63.57,57.14,60.89
0.0001,58.0,2911.01,64.29,57.86,61.49
0.0001,59.0,2965.78,65.00,58.57,62.21
0.0001,60.0,3117.97,65.71,59.29,63.24
0.0002,15.0,1178.06,21.43,15.00,19.39
0.0002,16.0,1144.05,23.57,16.43,20.90
0.0002,17.0,1214.85,25.00,17.14,21.93
0.0002,18.0,3810.14,17.86,15.71,16.73
0.0002,19.0,1156.77,27.86,19.29,24.81
0.0002,20.0,1176.20,29.29,20.71,26.58
0.0002,21.0,1171.85,30.71,21.43,27.30
0.0002,22.0,1180.10,32.14,22.14,28.76
0.0002,23.0,1158.05,33.57,22.86,29.72
0.0002,24.0,1136.17,35.71,23.57,30.93
0.0002,25.0,1250.10,35.71,24.29,31.80
0.0002,26.0,1278.78,37.86,25.71,33.35
0.0002,27.0,1313.27,39.29,27.86,34.91
0.0002,28.0,1288.20,40.71,27.86,36.16
0.0002,29.0,1215.18,42.14,28.57,36.90
0.0002,30.0,1293.11,42.14,30.00,38.12
0.0002,31.0,1295.91,42.86,30.71,38.66
0.0002,32.0,1332.54,44.29,32.14,39.55
0.0002,33.0,1367.69,45.00,32.86,40.55
0.0002,34.0,1385.03,45.71,32.86,41.02
0.0002,35.0,1452.63,47.14,35.00,42.10
0.0002,36.0,1481.65,47.14,35.71,42.84
0.0002,37.0,1600.91,47.86,37.86,44.20
0.0002,38.0,1620.83,48.57,38.57,44.87
0.0002,39.0,1614.82,50.00,38.57,45.41
0.0002,40.0,5024.30,40.71,37.14,38.86
0.0002,41.0,1746.57,50.71,41.43,47.29
0.0002,42.0,1826.75,52.14,42.86,48.46
0.0002,43.0,1840.57,52.86,42.86,48.86
0.0002,44.0,1897.08,53.57,43.57,49.55
0.0002,45.0,1991.64,54.29,45.00,50.61
0.0002,46.0,2023.50,55.00,45.71,51.45
0.0002,47.0,2085.44,55.71,47.14,52.29
0.0002,48.0,2152.18,56.43,47.86,52.92
0.0002,49.0,2198.42,57.14,48.57,53.87
0.0002,50.0,2286.70,57.86,50.00,54.76
0.0002,51.0,2355.66,59.29,50.00,55.58
0.0002,52.0,2494.47,60.71,52.14,56.81
0.0002,53.0,2536.07,60.71,52.86,57.25
0.0002,54.0,2588.69,61.43,53.57,57.90
0.0002,55.0,2706.69,62.14,55.00,59.20
0.0002,56.0,2754.43,62.86,55.71,59.52
0.0002,57.0,2905.03,63.57,56.43,60.71
0.0002,58.0,3033.93,64.29,57.86,61.77
0.0002,59.0,3084.20,65.00,58.57,62.34
0.0002,60.0,3183.38,65.71,60.00,63.03
0.0003,15.0,1248.29,22.14,15.71,19.66
0.0003,16.0,1136.05,23.57,15.71,20.61
0.0003,17.0,1191.24,25.00,17.14,22.42
0.0003,18.0,1155.74,26.43,17.86,23.61
0.0003,19.0,1150.97,28.57,18.57,24.79
0.0003,20.0,1172.82,29.29,20.00,26.07
0.0003,21.0,1157.48,30.71,20.00,27.34
0.0003,22.0,1256.42,32.14,22.14,28.31
0.0003,23.0,1254.90,32.86,22.86,29.39
0.0003,24.0,1262.98,35.00,23.57,30.93
0.0003,25.0,1277.80,36.43,25.00,32.38
0.0003,26.0,1209.83,38.57,25.71,34.05
0.0003,27.0,1223.96,40.00,27.14,34.98
0.0003,28.0,1259.74,40.71,28.57,36.34
0.0003,29.0,1260.10,42.14,28.57,36.95
0.0003,30.0,1325.87,42.14,30.71,38.07
0.0003,31.0,1344.91,43.57,31.43,38.68
0.0003,32.0,1434.53,45.00,32.14,40.00
0.0003,33.0,1427.10,45.00,32.14,40.17
0.0003,34.0,1443.42,45.71,33.57,40.97
0.0003,35.0,4597.11,35.71,31.43,33.46
0.0003,36.0,1535.74,47.14,36.43,43.26
0.0003,37.0,1588.24,47.86,37.14,43.95
0.0003,38.0,1620.70,48.57,37.86,44.48
0.0003,39.0,1657.03,49.29,37.86,45.04
0.0003,40.0,1749.92,50.71,40.00,46.26
0.0003,41.0,1812.45,51.43,41.43,47.40
0.0003,42.0,5012.37,45.00,40.71,42.65
0.0003,43.0,1870.62,52.86,42.86,48.68
0.0003,44.0,1910.42,53.57,43.57,49.46
0.0003,45.0,2016.25,54.29,45.71,50.89
0.0003,46.0,2065.08,55.00,46.43,51.62
0.0003,47.0,2153.83,55.71,47.14,52.62
0.0003,48.0,2202.16,56.43,47.86,52.94
0.0003,49.0,2257.22,57.86,49.29,54.01
0.0003,50.0,2320.47,58.57,48.57,54.66
0.0003,51.0,2402.84,58.57,50.71,55.57
0.0003,52.0,2531.98,60.00,52.14,56.90
0.0003,53.0,2604.75,60.71,53.57,57.73
0.0003,54.0,2626.51,61.43,53.57,57.92
0.0003,55.0,2744.67,62.14,55.00,59.00
0.0003,56.0,2821.67,63.57,55.71,59.81
0.0003,57.0,3089.32,64.29,58.57,61.85
0.0003,58.0,3009.06,64.29,57.86,61.45
0.0003,59.0,3098.27,65.00,58.57,62.27
0.0003,60.0,3283.21,66.43,60.00,63.49
0.0004,15.0,1155.85,22.14,15.00,19.85
0.0004,16.0,1151.62,23.57,16.43,21.06
0.0004,17.0,1156.08,25.71,16.43,22.39
0.0004,18.0,1253.52,26.43,17.86,23.11
0.0004,19.0,1250.63,27.86,19.29,24.94
0.0004,20.0,1253.67,29.29,20.00,26.23
0.0004,21.0,1225.78,31.43,22.14,27.92
0.0004,22.0,1218.24,32.86,22.86,29.31
0.0004,23.0,1194.86,34.29,22.86,30.15
0.0004,24.0,1194.85,35.71,23.57,31.71
0.0004,25.0,1230.29,37.14,25.71,33.10
0.0004,26.0,1220.33,38.57,26.43,33.88
0.0004,27.0,1373.17,39.29,27.86,34.98
0.0004,28.0,1328.07,41.43,28.57,36.32
0.0004,29.0,1311.20,41.43,28.57,36.75
0.0004,30.0,1345.55,42.14,30.00,37.79
0.0004,31.0,1353.65,43.57,30.71,38.61
0.0004,32.0,3973.09,32.14,28.57,30.02
0.0004,33.0,1434.24,45.00,33.57,40.45
0.0004,34.0,1481.72,45.71,34.29,41.49
0.0004,35.0,1514.17,46.43,35.71,42.16
0.0004,36.0,1575.56,47.14,35.71,43.13
0.0004,37.0,1696.88,48.57,37.14,44.39
0.0004,38.0,1660.91,49.29,38.57,44.56
0.0004,39.0,1658.15,49.29,37.86,44.76
0.0004,40.0,1763.25,50.00,40.71,46.32
0.0004,41.0,1782.18,51.43,40.71,47.01
0.0004,42.0,1858.76,52.14,42.14,47.97
0.0004,43.0,1888.49,52.86,42.86,48.73
0.0004,44.0,1963.00,53.57,43.57,49.46
0.0004,45.0,2054.79,54.29,45.00,50.69
0.0004,46.0,2126.57,55.00,46.43,51.60
0.0004,47.0,2194.69,55.71,47.86,52.46
0.0004,48.0,2219.28,56.43,47.14,52.84
0.0004,49.0,2306.83,57.14,49.29,53.91
0.0004,50.0,2394.92,57.86,50.00,54.78
0.0004,51.0,2417.33,59.29,50.71,55.32
0.0004,52.0,2541.16,59.29,51.43,56.47
0.0004,53.0,2644.61,60.71,52.86,57.40
0.0004,54.0,2704.46,60.71,53.57,57.88
0.0004,55.0,2838.53,62.14,55.00,59.11
0.0004,56.0,2840.68,62.86,55.00,59.57
0.0004,57.0,2972.86,62.86,57.14,60.60
0.0004,58.0,3118.31,64.29,57.86,61.65
0.0004,59.0,3172.99,65.00,57.86,61.88
0.0004,60.0,3385.89,65.71,60.00,63.36
0.0005,15.0,1182.62,22.14,15.71,19.76
0.0005,16.0,1189.06,24.29,16.43,21.00
0.0005,17.0,1212.61,25.71,17.86,22.75
0.0005,18.0,1181.41,27.14,17.86,23.77
0.0005,19.0,1164.50,28.57,18.57,24.87
0.0005,20.0,1181.18,30.00,20.00,26.55
0.0005,21.0,1208.53,31.43,21.43,27.97
0.0005,22.0,1317.99,32.86,22.86,28.68
0.0005,23.0,1275.50,34.29,22.86,29.96
0.0005,24.0,1270.55,35.71,23.57,31.18
0.0005,25.0,1256.11,37.14,25.71,32.90
0.0005,26.0,1244.61,39.29,26.43,34.37
0.0005,27.0,1276.09,40.00,27.86,35.32
0.0005,28.0,1291.29,40.71,28.57,36.04
0.0005,29.0,1305.26,40.71,28.57,36.56
0.0005,30.0,1339.95,42.14,30.00,37.69
0.0005,31.0,1405.32,43.57,30.71,38.28
0.0005,32.0,1460.84,44.29,32.86,39.65
0.0005,33.0,1502.82,45.00,32.86,40.23
0.0005,34.0,1504.01,45.71,35.00,41.47
0.0005,35.0,1532.49,45.71,35.00,41.85
0.0005,36.0,1602.29,47.14,36.43,42.94
0.0005,37.0,1639.41,47.86,37.14,43.74
0.0005,38.0,1682.84,48.57,37.86,44.33
0.0005,39.0,1720.31,49.29,37.86,44.81
0.0005,40.0,1798.11,50.00,40.00,45.87
0.0005,41.0,1863.92,51.43,40.71,46.87
0.0005,42.0,1926.11,51.43,42.14,48.10
0.0005,43.0,1964.81,52.14,42.86,48.68
0.0005,44.0,2002.94,52.86,43.57,49.39
0.0005,45.0,2100.28,54.29,45.00,50.65
0.0005,46.0,2143.83,55.00,46.43,51.08
0.0005,47.0,2259.23,55.71,47.14,52.14
0.0005,48.0,5019.15,50.71,47.14,49.29
0.0005,49.0,2356.81,56.43,48.57,53.51
0.0005,50.0,2475.96,58.57,50.00,54.83
0.0005,51.0,2499.74,58.57,50.71,55.45
0.0005,52.0,2620.41,59.29,52.14,56.60
0.0005,53.0,2672.13,60.71,52.86,57.16
0.0005,54.0,2738.30,60.71,53.57,57.71
0.0005,55.0,2887.50,62.14,55.00,59.09
0.0005,56.0,2933.29,62.86,55.71,59.64
0.0005,57.0,3062.85,62.86,56.43,60.41
0.0005,58.0,3150.34,64.29,57.14,61.19
0.0005,59.0,3264.45,65.00,58.57,62.23
0.0005,60.0,3446.13,65.71,60.00,63.32
0.0006,15.0,1267.18,22.14,15.00,19.31
0.0006,16.0,1193.40,24.29,16.43,21.03
0.0006,17.0,1252.15,25.00,17.14,22.29
0.0006,18.0,1272.12,26.43,17.86,22.97
0.0006,19.0,1258.02,27.86,19.29,24.51
0.0006,20.0,1265.37,30.00,20.71,26.36
0.0006,21.0,1209.86,31.43,20.71,27.60
0.0006,22.0,1236.73,33.57,22.86,29.33
0.0006,23.0,1178.01,35.00,22.14,30.02
0.0006,24.0,1197.45,35.71,23.57,31.28
0.0006,25.0,1315.36,37.14,25.71,32.65
0.0006,26.0,1335.25,37.86,25.71,33.38
0.0006,27.0,1368.75,40.00,27.14,35.37
0.0006,28.0,3851.59,27.14,22.86,24.85
0.0006,29.0,1342.70,41.43,29.29,36.73
0.0006,30.0,3965.75,30.00,25.71,27.34
0.0006,31.0,1362.31,42.86,30.71,38.00
0.0006,32.0,1447.98,43.57,32.14,39.55
0.0006,33.0,1504.38,44.29,32.86,40.00
0.0006,34.0,1548.26,45.71,34.29,40.86
0.0006,35.0,1600.23,46.43,35.00,41.67
0.0006,36.0,1641.87,46.43,36.43,42.90
0.0006,37.0,1683.22,47.86,37.14,43.64
0.0006,38.0,5001.76,40.71,37.14,38.51
0.0006,39.0,1774.01,49.29,39.29,45.43
0.0006,40.0,1867.30,50.00,40.71,46.58
0.0006,41.0,1889.82,51.43,40.71,46.82
0.0006,42.0,1993.72,52.14,42.14,48.13
0.0006,43.0,2020.62,52.14,43.57,48.98
0.0006,44.0,2008.35,52.86,43.57,49.20
0.0006,45.0,2112.40,53.57,45.00,50.13
0.0006,46.0,2188.07,54.29,46.43,51.22
0.0006,47.0,2296.86,55.71,47.86,52.16
0.0006,48.0,2329.17,55.71,47.86,52.81
0.0006,49.0,2397.29,57.14,48.57,53.46
0.0006,50.0,2549.94,57.86,50.00,54.60
0.0006,51.0,2528.05,58.57,50.00,55.13
0.0006,52.0,2652.38,59.29,51.43,56.23
0.0006,53.0,2706.88,60.00,52.86,56.75
0.0006,54.0,2808.20,60.71,53.57,57.34
0.0006,55.0,2929.62,61.43,54.29,58.66
0.0006,56.0,3036.69,62.14,55.00,59.50
0.0006,57.0,3150.79,62.86,56.43,60.32
0.0006,58.0,3268.68,64.29,57.86,61.17
0.0006,59.0,3406.49,65.00,58.57,62.10
0.0006,60.0,3515.25,65.00,59.29,62.79
