Power,RPS_MAX,RPS_MIN,RPS_avg,Battery_Voltage
0.05,5.71,3.57,4.75,12.87
0.10,9.29,7.86,8.66,12.86
0.15,13.57,12.14,12.80,12.84
0.20,17.86,16.43,17.10,12.83
0.25,22.14,20.00,20.90,12.80
0.30,25.71,24.29,24.97,12.76
0.35,30.00,28.57,29.08,12.73
0.40,34.29,32.14,33.31,12.68
0.45,38.57,37.14,37.62,12.66
0.50,42.86,41.43,41.95,12.62
0.55,47.14,45.71,46.26,12.59
0.60,52.14,50.00,50.66,12.56
0.65,55.71,53.57,54.88,12.51
0.70,60.00,58.57,59.22,12.43
0.75,64.29,62.86,63.50,12.39
0.80,68.57,67.14,67.87,12.35
0.85,73.57,72.14,72.73,12.25
0.90,76.43,75.71,76.13,12.22
0.95,77.14,76.43,77.07,12.06
1.00,77.14,76.43,76.95,12.01
