Iteration,targetRPS,kp,ki,kd,avgRampUpTime,avgMaxRPS,avgMinRPS
1,15.0,0.000300,0.000003,0.000028,1169.73,19.29,15.00
1,20.0,0.000300,0.000003,0.000028,1146.72,26.43,20.71
1,25.0,0.000300,0.000003,0.000028,1149.77,32.86,25.71
1,30.0,0.000300,0.000003,0.000028,3811.45,30.00,27.86
1,35.0,0.000300,0.000003,0.000028,4090.28,35.00,32.86
1,40.0,0.000300,0.000003,0.000028,1498.18,47.86,40.00
1,45.0,0.000300,0.000003,0.000028,4660.24,45.00,42.86
1,50.0,0.000300,0.000003,0.000028,1927.08,56.43,50.00
1,55.0,0.000300,0.000003,0.000028,2208.62,60.00,55.00
1,60.0,0.000300,0.000003,0.000028,2665.74,64.29,60.00
2,15.0,0.000276,0.000003,0.000025,1126.96,20.00,15.71
2,20.0,0.000276,0.000003,0.000025,1122.82,26.43,20.00
2,25.0,0.000276,0.000003,0.000025,1189.87,31.43,25.00
2,30.0,0.000276,0.000003,0.000025,1261.94,38.57,30.71
2,35.0,0.000276,0.000003,0.000025,4188.48,34.29,32.86
2,40.0,0.000276,0.000003,0.000025,4679.26,40.00,37.14
2,45.0,0.000276,0.000003,0.000025,4814.32,45.00,42.14
2,50.0,0.000276,0.000003,0.000025,4812.10,50.00,47.86
2,55.0,0.000276,0.000003,0.000025,2269.98,60.00,55.00
2,60.0,0.000276,0.000003,0.000025,2780.41,64.29,60.71
3,15.0,0.000266,0.000003,0.000021,3730.92,15.00,12.86
3,20.0,0.000266,0.000003,0.000021,3743.04,20.00,18.57
3,25.0,0.000266,0.000003,0.000021,3796.09,25.00,22.86
3,30.0,0.000266,0.000003,0.000021,1182.36,39.29,30.71
3,35.0,0.000266,0.000003,0.000021,1329.81,43.57,35.71
3,40.0,0.000266,0.000003,0.000021,4693.99,40.00,37.86
3,45.0,0.000266,0.000003,0.000021,1750.36,51.43,45.00
3,50.0,0.000266,0.000003,0.000021,2040.98,55.71,50.00
3,55.0,0.000266,0.000003,0.000021,2394.65,59.29,55.71
3,60.0,0.000266,0.000003,0.000021,2773.14,63.57,60.00
4,15.0,0.000286,0.000003,0.000019,1257.39,19.29,15.00
4,20.0,0.000286,0.000003,0.000019,1252.00,25.00,20.00
4,25.0,0.000286,0.000003,0.000019,5064.27,21.43,20.00
4,30.0,0.000286,0.000003,0.000019,3563.89,30.00,26.43
4,35.0,0.000286,0.000003,0.000019,3865.12,34.29,32.86
4,40.0,0.000286,0.000003,0.000019,4722.38,40.00,37.86
4,45.0,0.000286,0.000003,0.000019,1771.02,52.14,45.71
4,50.0,0.000286,0.000003,0.000019,5008.99,50.71,47.86
4,55.0,0.000286,0.000003,0.000019,2413.32,59.29,54.29
4,60.0,0.000286,0.000003,0.000019,2914.96,64.29,60.71
5,15.0,0.000306,0.000003,0.000018,1177.20,19.29,15.71
5,20.0,0.000306,0.000003,0.000018,1176.44,25.71,20.00
5,25.0,0.000306,0.000003,0.000018,1187.62,32.86,25.71
5,30.0,0.000306,0.000003,0.000018,3483.83,30.00,26.43
5,35.0,0.000306,0.000003,0.000018,1402.06,43.57,36.43
5,40.0,0.000306,0.000003,0.000018,4731.99,40.71,38.57
5,45.0,0.000306,0.000003,0.000018,5000.61,45.00,42.86
5,50.0,0.000306,0.000003,0.000018,2120.68,55.00,50.00
5,55.0,0.000306,0.000003,0.000018,5048.83,56.43,54.29
5,60.0,0.000306,0.000003,0.000018,2842.36,63.57,59.29
6,15.0,0.000342,0.000003,0.000018,1184.84,19.29,15.00
6,20.0,0.000342,0.000003,0.000018,3352.01,20.00,17.86
6,25.0,0.000342,0.000003,0.000018,3488.72,25.00,20.71
6,30.0,0.000342,0.000003,0.000018,1246.88,38.57,30.71
6,35.0,0.000342,0.000003,0.000018,4369.22,34.29,32.86
6,40.0,0.000342,0.000003,0.000018,1684.24,47.86,40.00
6,45.0,0.000342,0.000003,0.000018,1897.77,51.43,45.71
6,50.0,0.000342,0.000003,0.000018,5019.51,50.71,47.86
6,55.0,0.000342,0.000003,0.000018,5062.32,55.71,54.29
6,60.0,0.000342,0.000003,0.000018,2913.44,63.57,60.00
7,15.0,0.000354,0.000003,0.000016,3354.70,15.00,12.86
7,20.0,0.000354,0.000003,0.000016,1185.44,26.43,20.71
7,25.0,0.000354,0.000003,0.000016,3795.83,25.00,20.71
7,30.0,0.000354,0.000003,0.000016,5001.85,25.71,25.00
7,35.0,0.000354,0.000003,0.000016,1465.51,42.86,35.71
7,40.0,0.000354,0.000003,0.000016,4878.03,40.00,37.86
7,45.0,0.000354,0.000003,0.000016,1899.57,51.43,45.00
7,50.0,0.000354,0.000003,0.000016,5061.21,50.00,48.57
7,55.0,0.000354,0.000003,0.000016,2550.31,59.29,55.00
7,60.0,0.000354,0.000003,0.000016,2989.49,63.57,60.00
8,15.0,0.000363,0.000003,0.000016,1324.53,19.29,15.71
8,20.0,0.000363,0.000003,0.000016,1330.03,25.71,20.71
8,25.0,0.000363,0.000003,0.000016,1324.99,32.14,25.00
8,30.0,0.000363,0.000003,0.000016,1332.85,38.57,30.00
8,35.0,0.000363,0.000003,0.000016,1399.17,42.86,35.71
8,40.0,0.000363,0.000003,0.000016,4872.36,40.00,38.57
