Iteration,targetRPS,kp,ki,kd,rampUpTime,maxRPS,minRPS,reachedTarget,stalled
1,40.0,0.000100,0.000003,0.000016,4838.29,40.00,37.86,true,false
2,40.0,0.000010,0.001000,0.001000,1631.61,46.43,40.71,true,false
3,40.0,0.000010,0.000000,0.000000,1716.08,46.43,41.43,true,false
4,40.0,0.000010,NaN,NaN,2055.06,0.00,0.00,false,true
5,40.0,0.000010,NaN,NaN,2035.35,0.00,0.00,false,true
6,40.0,0.000010,NaN,NaN,2013.75,0.00,0.00,false,true
7,40.0,0.000010,NaN,NaN,2065.97,0.00,0.00,false,true
8,40.0,0.000010,NaN,NaN,2059.69,0.00,0.00,false,true
9,40.0,0.000010,NaN,NaN,2064.24,0.00,0.00,false,true
10,40.0,0.000010,NaN,NaN,2049.16,0.00,0.00,false,true
11,40.0,0.000010,NaN,NaN,2065.06,0.00,0.00,false,true
12,40.0,0.000010,NaN,NaN,2025.32,0.00,0.00,false,true
13,40.0,0.000010,NaN,NaN,2053.06,0.00,0.00,false,true
14,40.0,0.000010,NaN,NaN,2043.75,0.00,0.00,false,true
15,40.0,0.000010,NaN,NaN,2006.15,0.00,0.00,false,true
16,40.0,0.000010,NaN,NaN,2055.70,0.00,0.00,false,true
17,40.0,0.000010,NaN,NaN,2057.79,0.00,0.00,false,true
18,40.0,0.000010,NaN,NaN,2060.96,0.00,0.00,false,true
19,40.0,0.000010,NaN,NaN,2042.43,0.00,0.00,false,true
20,40.0,0.000010,NaN,NaN,2009.65,0.00,0.00,false,true
21,40.0,0.000010,NaN,NaN,2055.90,0.00,0.00,false,true
22,40.0,0.000010,NaN,NaN,2048.92,0.00,0.00,false,true
23,40.0,0.000010,NaN,NaN,2033.44,0.00,0.00,false,true
24,40.0,0.000010,NaN,NaN,2027.77,0.00,0.00,false,true
25,40.0,0.000010,NaN,NaN,2033.16,0.00,0.00,false,true
26,40.0,0.000010,NaN,NaN,2046.94,0.00,0.00,false,true
27,40.0,0.000010,NaN,NaN,2045.71,0.00,0.00,false,true
28,40.0,0.000010,NaN,NaN,2063.74,0.00,0.00,false,true
29,40.0,0.000010,NaN,NaN,2059.84,0.00,0.00,false,true
30,40.0,0.000010,NaN,NaN,2045.07,0.00,0.00,false,true
VALIDATION,15.0,0.000010,0.001000,0.001000,1304.80,17.86,15.71,true,false
VALIDATION,20.0,0.000010,0.001000,0.001000,4333.73,20.71,18.57,true,false
VALIDATION,25.0,0.000010,0.001000,0.001000,1309.63,31.43,25.71,true,false
VALIDATION,30.0,0.000010,0.001000,0.001000,6402.52,31.43,30.00,true,false
VALIDATION,35.0,0.000010,0.001000,0.001000,5179.77,35.71,33.57,true,false
VALIDATION,40.0,0.000010,0.001000,0.001000,5407.43,40.00,37.86,true,false
VALIDATION,45.0,0.000010,0.001000,0.001000,1840.20,50.71,45.00,true,false
VALIDATION,50.0,0.000010,0.001000,0.001000,2214.62,55.00,50.00,true,false
VALIDATION,55.0,0.000010,0.001000,0.001000,8049.61,58.57,58.57,false,false
VALIDATION,60.0,0.000010,0.001000,0.001000,3031.49,63.57,60.00,true,false
