CurrentRPS,CurrentPower,CurrentVoltage,DistanceToTargetMM
0.00,0.00,12.69,3565.07
0.00,0.00,12.60,3565.06
0.00,0.00,12.59,3565.06
0.00,0.00,12.58,3565.06
0.00,0.00,12.58,3565.06
0.00,0.00,12.56,3565.07
0.00,0.00,12.55,3565.06
0.00,0.00,12.59,3565.06
0.00,0.00,12.61,3565.06
0.00,0.00,12.56,3565.07
0.00,0.00,12.69,3565.06
0.00,0.00,12.67,3565.06
0.00,0.00,12.69,3565.07
0.00,0.00,12.69,3565.06
0.00,0.00,12.66,3565.06
0.00,0.00,12.66,3565.06
0.00,0.00,12.66,3565.06
0.00,0.00,12.65,3565.06
0.00,0.00,12.69,3565.06
0.00,0.00,12.69,3565.06
0.00,0.00,12.67,3565.06
0.00,0.00,12.66,3565.06
0.00,0.00,12.66,3565.06
0.00,0.00,12.65,3565.06
0.00,0.00,12.70,3565.06
0.00,0.00,12.69,3565.06
0.00,0.00,12.70,3565.06
0.00,0.00,12.66,3565.06
0.00,0.00,12.70,3565.41
