targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
26.0,8069,25.71,25.71,25.71,0.012000,0.001000,0.005500,0.012054
26.5,1119,27.14,30.71,29.08,0.012000,0.001000,0.005500,0.012054
27.0,1117,27.14,31.43,29.90,0.012000,0.001000,0.005500,0.012054
27.5,8053,27.14,27.14,27.14,0.012000,0.001000,0.005500,0.012054
28.0,3258,27.14,28.57,27.55,0.012000,0.001000,0.005500,0.012054
28.5,1187,29.29,32.86,31.43,0.012000,0.001000,0.005500,0.012054
29.0,8011,29.29,29.29,29.29,0.012000,0.001000,0.005500,0.012054
29.5,1015,29.29,34.29,32.04,0.012000,0.001000,0.005500,0.012054
30.0,1109,30.71,35.00,33.16,0.012000,0.001000,0.005500,0.012054
30.5,3235,29.29,30.71,29.80,0.012000,0.001000,0.005500,0.012054
31.0,8046,31.43,31.43,31.43,0.012000,0.001000,0.005500,0.012054
31.5,1180,31.43,36.43,34.39,0.012000,0.001000,0.005500,0.012054
32.0,3387,31.43,32.14,31.63,0.012000,0.001000,0.005500,0.012054
32.5,8023,32.14,32.14,32.14,0.012000,0.001000,0.005500,0.012054
33.0,1177,34.29,38.57,36.53,0.012000,0.001000,0.005500,0.012054
33.5,3291,32.14,34.29,33.06,0.012000,0.001000,0.005500,0.012054
34.0,3228,32.86,35.00,33.78,0.012000,0.001000,0.005500,0.012054
34.5,1243,35.00,39.29,37.65,0.012000,0.001000,0.005500,0.012054
35.0,3440,33.57,35.00,34.29,0.012000,0.001000,0.005500,0.012054
35.5,3370,35.00,36.43,35.51,0.012000,0.001000,0.005500,0.012054
36.0,1337,36.43,40.71,39.08,0.012000,0.001000,0.005500,0.012054
36.5,3376,35.71,37.86,37.14,0.012000,0.001000,0.005500,0.012054
37.0,1397,37.14,40.71,39.39,0.012000,0.001000,0.005500,0.012054
37.5,8038,37.86,37.86,37.86,0.012000,0.001000,0.005500,0.012054
38.0,3525,37.14,37.86,37.55,0.012000,0.001000,0.005500,0.012054
38.5,3742,37.14,37.86,37.45,0.012000,0.001000,0.005500,0.012054
39.0,3448,38.57,40.00,39.18,0.012000,0.001000,0.005500,0.012054
39.5,1556,40.00,45.00,42.96,0.012000,0.001000,0.005500,0.012054
40.0,3732,39.29,40.00,39.39,0.012000,0.001000,0.005500,0.012054
40.5,1625,40.71,45.00,43.16,0.012000,0.001000,0.005500,0.012054
41.0,3994,40.00,40.71,40.31,0.012000,0.001000,0.005500,0.012054
41.5,3678,40.71,41.43,41.12,0.012000,0.001000,0.005500,0.012054
42.0,1648,42.86,46.43,44.90,0.012000,0.001000,0.005500,0.012054
42.5,1706,42.86,47.14,45.31,0.012000,0.001000,0.005500,0.012054
43.0,1717,43.57,46.43,45.00,0.012000,0.001000,0.005500,0.012054
43.5,1776,44.29,47.86,46.22,0.012000,0.001000,0.005500,0.012054
44.0,3766,44.29,45.00,44.39,0.012000,0.001000,0.005500,0.012054
44.5,3754,44.29,45.00,44.49,0.012000,0.001000,0.005500,0.012054
45.0,1850,45.00,47.86,46.63,0.012000,0.001000,0.005500,0.012054
45.5,3767,45.71,46.43,45.92,0.012000,0.001000,0.005500,0.012054
46.0,3907,45.71,46.43,46.22,0.012000,0.001000,0.005500,0.012054
46.5,1929,46.43,50.00,48.47,0.012000,0.001000,0.005500,0.012054
47.0,4078,46.43,47.14,47.04,0.012000,0.001000,0.005500,0.012054
47.5,2081,47.86,51.43,49.69,0.012000,0.001000,0.005500,0.012054
48.0,2086,47.86,51.43,49.80,0.012000,0.001000,0.005500,0.012054
48.5,2151,48.57,52.14,50.51,0.012000,0.001000,0.005500,0.012054
49.0,2156,49.29,52.14,50.92,0.012000,0.001000,0.005500,0.012054
49.5,2159,49.29,52.14,51.02,0.012000,0.001000,0.005500,0.012054
50.0,2289,50.71,52.86,51.53,0.012000,0.001000,0.005500,0.012054
