targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS
20.0,2481,16.43,18.57,17.31
22.0,2345,17.86,22.14,19.40
24.0,2451,19.29,22.86,20.44
26.0,1046,26.43,33.57,31.48
28.0,2555,22.86,27.14,24.23
30.0,2551,25.71,29.29,27.20
32.0,5760,30.71,32.14,31.43
34.0,1249,34.29,40.71,38.88
36.0,1383,37.14,42.14,40.82
38.0,3367,33.57,37.86,35.46
40.0,3432,35.00,40.00,37.09
42.0,1631,42.14,47.14,45.46
44.0,1639,43.57,48.57,47.19
46.0,1833,46.43,50.71,49.39
48.0,2000,48.57,52.14,51.07
50.0,2135,50.71,54.29,52.91
52.0,2289,52.14,55.71,54.80
54.0,2415,54.29,57.14,56.53
