targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf,kfBase
20.0,2854,16.43,20.00,18.21,0.012000,0.001000,0.002000,0.010348,-0.01
22.0,2349,18.57,22.14,19.73,0.012000,0.001000,0.002000,0.010348,-0.01
24.0,1030,24.29,29.29,28.02,0.012000,0.001000,0.002000,0.010348,-0.01
26.0,1033,26.43,31.43,30.26,0.012000,0.001000,0.002000,0.010348,-0.01
28.0,1035,28.57,34.29,32.53,0.012000,0.001000,0.002000,0.010348,-0.01
30.0,2543,25.00,30.00,26.84,0.012000,0.001000,0.002000,0.010348,-0.01
32.0,8046,30.71,30.71,30.71,0.012000,0.001000,0.002000,0.010348,-0.01
34.0,1228,32.86,39.29,37.45,0.012000,0.001000,0.002000,0.010348,-0.01
36.0,1387,36.43,41.43,40.15,0.012000,0.001000,0.002000,0.010348,-0.01
38.0,3233,35.00,38.57,36.43,0.012000,0.001000,0.002000,0.010348,-0.01
40.0,1540,40.00,43.57,42.86,0.012000,0.001000,0.002000,0.010348,-0.01
42.0,1627,41.43,45.71,44.69,0.012000,0.001000,0.002000,0.010348,-0.01
44.0,1755,44.29,47.14,46.43,0.012000,0.001000,0.002000,0.010348,-0.01
46.0,1889,46.43,49.29,48.32,0.012000,0.001000,0.002000,0.010348,-0.01
48.0,3457,44.29,47.86,45.92,0.012000,0.001000,0.002000,0.010348,-0.01
50.0,2184,50.00,52.86,51.89,0.012000,0.001000,0.002000,0.010348,-0.01
52.0,2428,52.86,55.00,54.23,0.012000,0.001000,0.002000,0.010348,-0.01
54.0,2470,53.57,56.43,55.77,0.012000,0.001000,0.002000,0.010348,-0.01
