targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
20.0,2284,17.14,19.29,17.64,0.014000,0.001000,0.002000,0.010000
22.0,1047,22.14,25.71,25.00,0.014000,0.001000,0.002000,0.010000
24.0,1044,24.29,28.57,27.64,0.014000,0.001000,0.002000,0.010000
26.0,2585,22.14,25.71,24.07,0.014000,0.001000,0.002000,0.010000
28.0,2539,24.29,27.86,25.66,0.014000,0.001000,0.002000,0.010000
30.0,2623,26.43,30.00,27.76,0.014000,0.001000,0.002000,0.010000
32.0,2831,27.14,31.43,28.83,0.014000,0.001000,0.002000,0.010000
34.0,1286,34.29,38.57,37.30,0.014000,0.001000,0.002000,0.010000
36.0,1409,36.43,40.71,39.29,0.014000,0.001000,0.002000,0.010000
38.0,3110,34.29,37.86,35.92,0.014000,0.001000,0.002000,0.010000
40.0,1639,40.00,44.29,42.60,0.014000,0.001000,0.002000,0.010000
42.0,1783,42.86,45.71,44.54,0.014000,0.001000,0.002000,0.010000
44.0,1911,44.29,47.14,46.32,0.014000,0.001000,0.002000,0.010000
46.0,2024,45.71,48.57,47.65,0.014000,0.001000,0.002000,0.010000
48.0,2137,47.86,50.71,49.64,0.014000,0.001000,0.002000,0.010000
50.0,2269,50.00,52.14,51.48,0.014000,0.001000,0.002000,0.010000
52.0,3394,49.29,52.86,50.82,0.014000,0.001000,0.002000,0.010000
54.0,2658,53.57,56.43,55.00,0.014000,0.001000,0.002000,0.010000
