TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
47.04,47.14,0.800,3495.5,Bad - Overshot,1764375428783
46.80,47.14,0.800,3529.9,Bad - Overshot,1764375440777
46.60,47.14,0.800,3618.2,Bad - Overshot,1764375449862
46.60,47.86,0.800,3768.2,Good,1764375456971
47.27,48.57,0.800,3460.7,Bad - Overshot,1764375465722
40.78,42.14,0.800,2426.3,Good,1764375474195
47.46,49.29,0.800,3365.9,Bad - Overshot,1764375494948
46.60,46.43,0.800,3586.9,Good,1764375504889
46.83,47.14,0.800,3526.2,Bad - Overshot,1764375512472
46.60,47.14,0.800,3589.4,Bad - Overshot,1764375520905
