TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
47.14,47.14,0.800,3341.5,Good,1764311194052
46.45,47.14,0.800,3236.8,Good,1764311205000
45.00,45.00,0.800,3050.8,Good,1764311212578
47.14,47.14,0.800,3434.9,Good,1764311221691
47.14,47.14,0.800,3436.5,Good,1764311230689
47.14,47.14,0.800,3340.0,Good,1764311240758
46.71,47.86,0.800,3254.8,Bad - Overshot,1764311258715
47.14,45.71,0.800,3293.7,Bad - Overshot,1764311270769
47.14,47.14,0.800,3649.0,Good,1764311282653
47.14,47.14,0.800,3408.9,Good,1764311291408
37.92,37.86,0.800,2198.9,Good,1764311300237
38.38,38.57,0.800,2290.8,Good,1764311307888
41.97,42.14,0.800,2572.6,Bad - Overshot,1764311318136
43.73,45.00,0.800,2693.2,Bad - Overshot,1764311331308
34.49,35.71,0.800,1970.8,Good,1764311342917
34.56,35.00,0.800,1984.9,Bad - Undershot,1764311355958
41.33,41.43,0.800,2503.5,Bad - Overshot,1764311367370
41.84,42.86,0.800,2558.0,Bad - Overshot,1764311381846
42.61,43.57,0.800,2621.3,Bad - Overshot,1764311392113
34.31,34.29,0.800,1935.8,Bad - Undershot,1764311406835
32.56,33.57,0.800,1639.2,Bad - Overshot,1764311421827
32.54,32.86,0.800,1641.2,Bad - Undershot,1764311434670
31.43,31.43,0.800,1331.8,Good,1764311454737
42.02,42.86,0.800,2577.7,Bad - Overshot,1764311467817
