kp,ki,kd,targetTicks,timeToTarget,minTicks,maxTicks,avgTicks
0.002000,0.000005,0.000040,-751.0,1298.8,-799.0,-748.0,-794.0
0.002000,0.000005,0.000040,-731.0,1569.4,-741.0,-735.0,-735.4
0.002000,0.000005,0.000040,-711.0,197.4,-720.0,-698.0,-701.6
0.002000,0.000005,0.000040,-691.0,10.8,-698.0,-698.0,-698.0
0.002000,0.000005,0.000040,-671.0,968.0,-681.0,-672.0,-673.0
0.002000,0.000005,0.000040,-651.0,845.0,-661.0,-658.0,-658.2
0.002000,0.000005,0.000040,-631.0,224.2,-640.0,-635.0,-636.3
0.002000,0.000005,0.000040,-611.0,1635.8,-620.0,-616.0,-616.3
0.002000,0.000005,0.000040,-591.0,251.2,-596.0,-580.0,-581.3
0.002000,0.000005,0.000040,-571.0,11.4,-580.0,-580.0,-580.0
0.002000,0.000005,0.000040,-551.0,369.6,-560.0,-556.0,-556.2
0.002000,0.000005,0.000040,-531.0,1186.8,-541.0,-527.0,-529.0
0.002000,0.000005,0.000040,-511.0,946.9,-521.0,-511.0,-512.0
0.002000,0.000005,0.000040,-491.0,886.2,-501.0,-494.0,-496.8
0.002000,0.000005,0.000040,-471.0,1571.5,-479.0,-473.0,-473.4
0.002000,0.000005,0.000040,-451.0,580.0,-461.0,-453.0,-454.4
0.002000,0.000005,0.000040,-431.0,309.8,-441.0,-436.0,-438.4
0.002000,0.000005,0.000040,-411.0,968.5,-419.0,-415.0,-417.8
0.002000,0.000005,0.000040,-391.0,1341.5,-399.0,-392.0,-392.8
0.002000,0.000005,0.000040,-371.0,520.0,-380.0,-378.0,-378.1
0.002000,0.000005,0.000040,-351.0,167.5,-360.0,-354.0,-356.0
0.002000,0.000005,0.000040,-331.0,1534.2,-341.0,-329.0,-333.4
0.002000,0.000005,0.000040,-311.0,579.4,-319.0,-316.0,-316.2
0.002000,0.000005,0.000040,-291.0,220.9,-300.0,-292.0,-292.9
0.002000,0.000005,0.000040,-271.0,428.4,-280.0,-278.0,-278.1
0.002000,0.000005,0.000040,-251.0,220.7,-260.0,-247.0,-248.8
0.002000,0.000005,0.000040,-231.0,757.6,-241.0,-235.0,-236.9
0.002000,0.000005,0.000040,-211.0,164.1,-220.0,-213.0,-214.4
0.002000,0.000005,0.000040,-191.0,1355.4,-200.0,-193.0,-195.4
0.002000,0.000005,0.000040,-171.0,1288.6,-181.0,-173.0,-178.6
0.002000,0.000005,0.000040,-151.0,133.9,-159.0,-154.0,-154.3
0.002000,0.000005,0.000040,-131.0,1199.1,-140.0,-132.0,-136.4
0.002000,0.000005,0.000040,-111.0,310.2,-121.0,-113.0,-115.3
0.002000,0.000005,0.000040,-91.0,1562.0,-101.0,-93.0,-94.0
0.002000,0.000005,0.000040,-71.0,243.7,-81.0,-71.0,-75.5
0.002000,0.000005,0.000040,-51.0,425.3,-60.0,-54.0,-54.4
0.002000,0.000005,0.000040,-31.0,283.2,-40.0,-28.0,-36.7
0.002000,0.000005,0.000040,-11.0,257.9,-21.0,-14.0,-16.1
0.002000,0.000005,0.000040,9.0,1044.9,-1.0,6.0,3.3
0.002000,0.000005,0.000040,29.0,1600.0,20.0,37.0,35.0
0.002000,0.000005,0.000040,49.0,757.6,39.0,45.0,43.5
0.002000,0.000005,0.000040,69.0,249.3,59.0,64.0,62.1
0.002000,0.000005,0.000040,89.0,220.4,82.0,86.0,85.8
0.002000,0.000005,0.000040,109.0,188.5,100.0,106.0,104.1
0.002000,0.000005,0.000040,129.0,219.4,119.0,126.0,124.0
0.002000,0.000005,0.000040,149.0,218.3,140.0,152.0,151.1
0.002000,0.000005,0.000040,169.0,227.2,160.0,166.0,164.5
0.002000,0.000005,0.000040,189.0,1577.7,181.0,187.0,186.6
0.002000,0.000005,0.000040,209.0,1368.8,200.0,213.0,202.9
0.002000,0.000005,0.000040,229.0,280.9,220.0,229.0,228.4
0.002000,0.000005,0.000040,249.0,249.8,239.0,247.0,245.5
0.002000,0.000005,0.000040,269.0,1490.3,260.0,265.0,264.8
0.002000,0.000005,0.000040,289.0,1114.3,281.0,283.0,282.4
0.002000,0.000005,0.000040,309.0,318.0,299.0,308.0,306.5
0.002000,0.000005,0.000040,329.0,1384.8,321.0,324.0,323.9
0.002000,0.000005,0.000040,349.0,185.2,342.0,352.0,345.2
0.002000,0.000005,0.000040,369.0,522.8,360.0,367.0,365.7
0.002000,0.000005,0.000040,389.0,397.4,379.0,383.0,382.6
0.002000,0.000005,0.000040,409.0,189.1,405.0,410.0,409.7
0.002000,0.000005,0.000040,429.0,193.4,420.0,422.0,421.9
0.002000,0.000005,0.000040,449.0,187.8,444.0,450.0,449.6
0.002000,0.000005,0.000040,469.0,309.9,459.0,469.0,464.0
0.002000,0.000005,0.000040,489.0,192.4,480.0,487.0,483.9
0.002000,0.000005,0.000040,509.0,1749.0,499.0,507.0,503.8
0.002000,0.000005,0.000040,529.0,277.0,520.0,532.0,529.3
0.002000,0.000005,0.000040,549.0,458.2,540.0,545.0,544.7
0.002000,0.000005,0.000040,569.0,211.8,562.0,574.0,573.1
0.002000,0.000005,0.000040,589.0,653.9,580.0,594.0,592.9
0.002000,0.000005,0.000040,609.0,666.8,599.0,608.0,599.6
0.002000,0.000005,0.000040,629.0,309.0,621.0,630.0,629.1
0.002000,0.000005,0.000040,649.0,512.4,640.0,646.0,641.8
0.002000,0.000005,0.000040,669.0,498.3,667.0,678.0,677.5
0.002000,0.000005,0.000040,689.0,788.0,679.0,683.0,682.8
0.002000,0.000005,0.000040,709.0,425.0,699.0,702.0,700.3
0.002000,0.000005,0.000040,729.0,222.9,721.0,728.0,724.1
0.002000,0.000005,0.000040,749.0,666.8,740.0,741.0,740.0
