kp,ki,kd,targetTicks,timeToTarget_ms,minTicks,maxTicks,avgTicks
0.003600,0.000016,0.000030,-751.0,751.8,-768.0,-743.0,-762.3
0.003600,0.000016,0.000030,-731.0,1470.1,-741.0,-732.0,-738.6
0.003600,0.000016,0.000030,-711.0,257.7,-720.0,-716.0,-716.3
0.003600,0.000016,0.000030,-691.0,823.4,-699.0,-696.0,-696.2
0.003600,0.000016,0.000030,-671.0,165.6,-679.0,-675.0,-676.0
0.003600,0.000016,0.000030,-651.0,1047.7,-659.0,-659.0,-659.0
0.003600,0.000016,0.000030,-631.0,171.1,-636.0,-628.0,-628.4
0.003600,0.000016,0.000030,-611.0,810.7,-621.0,-617.0,-617.2
0.003600,0.000016,0.000030,-591.0,203.8,-597.0,-573.0,-576.5
0.003600,0.000016,0.000030,-571.0,10.2,-583.0,-581.0,-582.9
0.003600,0.000016,0.000030,-551.0,562.9,-560.0,-555.0,-555.3
0.003600,0.000016,0.000030,-531.0,189.3,-540.0,-533.0,-533.5
0.003600,0.000016,0.000030,-511.0,346.8,-520.0,-515.0,-517.1
0.003600,0.000016,0.000030,-491.0,191.9,-499.0,-491.0,-491.9
0.003600,0.000016,0.000030,-471.0,342.4,-481.0,-475.0,-475.9
0.003600,0.000016,0.000030,-451.0,644.3,-460.0,-452.0,-455.8
0.003600,0.000016,0.000030,-431.0,191.1,-441.0,-433.0,-436.2
0.003600,0.000016,0.000030,-411.0,276.7,-419.0,-415.0,-416.1
0.003600,0.000016,0.000030,-391.0,623.3,-401.0,-390.0,-391.8
0.003600,0.000016,0.000030,-371.0,787.1,-381.0,-367.0,-368.5
0.003600,0.000016,0.000030,-351.0,786.2,-360.0,-354.0,-356.5
0.003600,0.000016,0.000030,-331.0,971.0,-341.0,-335.0,-335.8
0.003600,0.000016,0.000030,-311.0,163.8,-320.0,-315.0,-315.3
0.003600,0.000016,0.000030,-291.0,164.8,-299.0,-292.0,-293.2
0.003600,0.000016,0.000030,-271.0,188.5,-280.0,-269.0,-270.1
0.003600,0.000016,0.000030,-251.0,540.5,-260.0,-251.0,-251.6
0.003600,0.000016,0.000030,-231.0,279.5,-241.0,-236.0,-236.8
0.003600,0.000016,0.000030,-211.0,192.0,-214.0,-206.0,-206.4
0.003600,0.000016,0.000030,-191.0,726.3,-199.0,-190.0,-190.9
0.003600,0.000016,0.000030,-171.0,486.6,-180.0,-169.0,-175.4
0.003600,0.000016,0.000030,-151.0,221.0,-160.0,-155.0,-155.3
0.003600,0.000016,0.000030,-131.0,191.2,-135.0,-126.0,-126.4
0.003600,0.000016,0.000030,-111.0,837.7,-121.0,-116.0,-117.1
0.003600,0.000016,0.000030,-91.0,191.8,-94.0,-85.0,-85.5
0.003600,0.000016,0.000030,-71.0,703.9,-81.0,-71.0,-75.8
0.003600,0.000016,0.000030,-51.0,221.8,-60.0,-54.0,-55.1
0.003600,0.000016,0.000030,-31.0,603.5,-41.0,-34.0,-36.6
0.003600,0.000016,0.000030,-11.0,757.6,-21.0,-15.0,-15.8
0.003600,0.000016,0.000030,9.0,192.6,2.0,10.0,9.6
0.003600,0.000016,0.000030,29.0,662.6,21.0,29.0,28.6
0.003600,0.000016,0.000030,49.0,191.6,40.0,55.0,43.8
0.003600,0.000016,0.000030,69.0,160.0,60.0,66.0,63.6
0.003600,0.000016,0.000030,89.0,191.3,84.0,89.0,88.8
0.003600,0.000016,0.000030,109.0,338.9,99.0,108.0,106.9
0.003600,0.000016,0.000030,129.0,309.3,119.0,128.0,126.5
0.003600,0.000016,0.000030,149.0,160.2,143.0,150.0,149.6
0.003600,0.000016,0.000030,169.0,217.8,162.0,168.0,165.2
0.003600,0.000016,0.000030,189.0,1044.5,179.0,187.0,185.4
0.003600,0.000016,0.000030,209.0,725.0,200.0,207.0,204.7
0.003600,0.000016,0.000030,229.0,750.4,221.0,226.0,225.6
0.003600,0.000016,0.000030,249.0,158.0,242.0,251.0,250.4
0.003600,0.000016,0.000030,269.0,332.3,261.0,265.0,264.9
0.003600,0.000016,0.000030,289.0,100.5,281.0,296.0,295.1
0.003600,0.000016,0.000030,309.0,752.2,299.0,307.0,305.6
0.003600,0.000016,0.000030,329.0,670.8,320.0,332.0,324.7
0.003600,0.000016,0.000030,349.0,192.3,342.0,353.0,347.1
0.003600,0.000016,0.000030,369.0,247.7,359.0,371.0,363.6
0.003600,0.000016,0.000030,389.0,252.4,379.0,391.0,389.4
0.003600,0.000016,0.000030,409.0,334.9,401.0,405.0,404.7
0.003600,0.000016,0.000030,429.0,160.0,424.0,436.0,435.4
0.003600,0.000016,0.000030,449.0,905.8,439.0,450.0,448.6
0.003600,0.000016,0.000030,469.0,162.0,462.0,469.0,464.2
0.003600,0.000016,0.000030,489.0,159.7,483.0,491.0,490.6
0.003600,0.000016,0.000030,509.0,419.9,502.0,514.0,513.1
0.003600,0.000016,0.000030,529.0,547.8,519.0,535.0,526.7
0.003600,0.000016,0.000030,549.0,154.5,539.0,553.0,545.9
0.003600,0.000016,0.000030,569.0,132.2,561.0,575.0,574.0
0.003600,0.000016,0.000030,589.0,535.4,579.0,588.0,585.9
0.003600,0.000016,0.000030,609.0,785.9,599.0,607.0,603.4
0.003600,0.000016,0.000030,629.0,131.8,623.0,629.0,628.8
0.003600,0.000016,0.000030,649.0,185.6,640.0,653.0,644.4
0.003600,0.000016,0.000030,669.0,342.6,659.0,669.0,665.0
0.003600,0.000016,0.000030,689.0,1221.3,681.0,684.0,683.8
0.003600,0.000016,0.000030,709.0,156.5,701.0,706.0,705.8
0.003600,0.000016,0.000030,729.0,161.2,722.0,728.0,727.5
0.003600,0.000016,0.000030,749.0,809.8,740.0,809.0,791.5
