test,kp,ki,kd,targetDegrees,targetTicks,finalTicks,maxTicks,minTicks,avgTicks,timeToTarget,overshoot,steadyStateError,oscillationRange,reachedTarget
1,0.002000,0.000005,0.000040,-180.0,-750.0,0.0,0.0,0.0,0.0,5031.9,0.0,750.0,0.0,false
2,0.002000,0.000005,0.000040,-165.0,-688.0,0.0,0.0,0.0,0.0,5033.4,0.0,688.0,0.0,false
3,0.002000,0.000005,0.000040,-150.0,-625.0,0.0,0.0,0.0,0.0,5013.1,0.0,625.0,0.0,false
4,0.002000,0.000005,0.000040,-135.0,-563.0,0.0,0.0,0.0,0.0,5011.3,0.0,563.0,0.0,false
5,0.002000,0.000005,0.000040,-120.0,-500.0,0.0,0.0,0.0,0.0,5022.1,0.0,500.0,0.0,false
6,0.002000,0.000005,0.000040,-105.0,-438.0,0.0,0.0,0.0,0.0,5024.3,0.0,438.0,0.0,false
7,0.002000,0.000005,0.000040,-90.0,-375.0,0.0,0.0,0.0,0.0,5023.1,0.0,375.0,0.0,false
8,0.002000,0.000005,0.000040,-75.0,-312.0,0.0,0.0,0.0,0.0,5003.3,0.0,312.0,0.0,false
9,0.002000,0.000005,0.000040,-60.0,-250.0,0.0,0.0,0.0,0.0,5013.4,0.0,250.0,0.0,false
10,0.002000,0.000005,0.000040,-45.0,-187.0,0.0,0.0,0.0,0.0,5053.4,0.0,187.0,0.0,false
11,0.002000,0.000005,0.000040,-30.0,-125.0,0.0,0.0,0.0,0.0,5050.2,0.0,125.0,0.0,false
12,0.002000,0.000005,0.000040,-15.0,-62.0,-1.0,0.0,-1.0,-0.0,5012.8,0.0,61.0,1.0,false
13,0.002000,0.000005,0.000040,0.0,0.0,-1.0,-1.0,-1.0,-1.0,18.7,1.0,1.0,0.0,true
14,0.002000,0.000005,0.000040,15.0,62.0,-1.0,-1.0,-1.0,-1.0,5047.0,0.0,63.0,0.0,false
15,0.002000,0.000005,0.000040,30.0,125.0,-1.0,-1.0,-1.0,-1.0,5036.5,0.0,126.0,0.0,false
16,0.002000,0.000005,0.000040,45.0,187.0,-1.0,-1.0,-1.0,-1.0,5034.3,0.0,188.0,0.0,false
17,0.002000,0.000005,0.000040,60.0,250.0,-1.0,-1.0,-1.0,-1.0,5026.6,0.0,251.0,0.0,false
18,0.002000,0.000005,0.000040,75.0,312.0,-1.0,-1.0,-1.0,-1.0,5031.7,0.0,313.0,0.0,false
19,0.002000,0.000005,0.000040,90.0,375.0,-1.0,-1.0,-1.0,-1.0,5026.5,0.0,376.0,0.0,false
20,0.002000,0.000005,0.000040,105.0,438.0,-1.0,-1.0,-1.0,-1.0,5017.3,0.0,439.0,0.0,false
21,0.002000,0.000005,0.000040,120.0,500.0,-1.0,-1.0,-1.0,-1.0,5033.8,0.0,501.0,0.0,false
22,0.002000,0.000005,0.000040,135.0,563.0,-1.0,-1.0,-1.0,-1.0,5015.8,0.0,564.0,0.0,false
23,0.002000,0.000005,0.000040,150.0,625.0,-1.0,-1.0,-1.0,-1.0,5015.7,0.0,626.0,0.0,false
24,0.002000,0.000005,0.000040,165.0,688.0,-1.0,-1.0,-1.0,-1.0,5023.7,0.0,689.0,0.0,false
25,0.002000,0.000005,0.000040,180.0,750.0,-1.0,-1.0,-1.0,-1.0,5017.4,0.0,751.0,0.0,false
